millis,stamp,datetime,motion,temp,hum
9,1599489731,2020/9/7 14:42:11,Inactive,20.60,50.30
11342999,1599489732,2020/9/7 14:42:12,Inactive,20.50,50.30
999,1599489735,2020/9/7 14:42:15,Active,20.50,50.30
1999,1599489736,2020/9/7 14:42:16,Inactive,20.50,50.30
2999,1599489737,2020/9/7 14:42:17,Inactive,20.50,50.30
3999,1599489738,2020/9/7 14:42:18,Inactive,20.60,50.30
5000,1599489739,2020/9/7 14:42:19,Inactive,20.60,50.30
5999,1599489740,2020/9/7 14:42:20,Inactive,20.50,50.30
6999,1599489741,2020/9/7 14:42:21,Inactive,20.50,50.30
7999,1599489742,2020/9/7 14:42:22,Inactive,20.60,50.30
8999,1599489744,2020/9/7 14:42:24,Inactive,20.60,50.30
9999,1599489745,2020/9/7 14:42:25,Active,20.60,50.20
10999,1599489746,2020/9/7 14:42:26,Active,20.60,50.20
11999,1599489747,2020/9/7 14:42:27,Inactive,20.60,50.20
12999,1599489748,2020/9/7 14:42:28,Inactive,20.60,50.20
13999,1599489749,2020/9/7 14:42:29,Active,20.60,50.10
14999,1599489750,2020/9/7 14:42:30,Active,20.60,50.10
16000,1599489751,2020/9/7 14:42:31,Inactive,20.60,50.10
16999,1599489752,2020/9/7 14:42:32,Active,20.60,50.10
17999,1599489753,2020/9/7 14:42:33,Active,20.60,50.10
18999,1599489754,2020/9/7 14:42:34,Active,20.60,50.10
19999,1599489755,2020/9/7 14:42:35,Inactive,20.60,50.10
20999,1599489756,2020/9/7 14:42:36,Active,20.60,50.00
21999,1599489757,2020/9/7 14:42:37,Active,20.60,50.00
22999,1599489758,2020/9/7 14:42:38,Active,20.60,50.00
23999,1599489759,2020/9/7 14:42:39,Inactive,20.60,50.00
24999,1599489760,2020/9/7 14:42:40,Active,20.60,50.00
25999,1599489761,2020/9/7 14:42:41,Active,20.60,50.00
26999,1599489762,2020/9/7 14:42:42,Active,20.60,50.00
27999,1599489763,2020/9/7 14:42:43,Inactive,20.60,50.00
28999,1599489764,2020/9/7 14:42:44,Inactive,20.60,50.00
29999,1599489765,2020/9/7 14:42:45,Active,20.60,50.00
30999,1599489766,2020/9/7 14:42:46,Active,20.60,49.90
32000,1599489767,2020/9/7 14:42:47,Active,20.60,49.90
32999,1599489768,2020/9/7 14:42:48,Inactive,20.60,49.90
33999,1599489769,2020/9/7 14:42:49,Inactive,20.60,49.90
34999,1599489770,2020/9/7 14:42:50,Inactive,20.50,49.90
35999,1599489771,2020/9/7 14:42:51,Inactive,20.50,49.90
36999,1599489772,2020/9/7 14:42:52,Inactive,20.60,49.90
37999,1599489773,2020/9/7 14:42:53,Inactive,20.60,49.90
38999,1599489774,2020/9/7 14:42:54,Inactive,20.60,49.90
39999,1599489775,2020/9/7 14:42:55,Inactive,20.60,49.90
40999,1599489776,2020/9/7 14:42:56,Inactive,20.60,49.90
41999,1599489777,2020/9/7 14:42:57,Inactive,20.60,49.90
42999,1599489778,2020/9/7 14:42:58,Inactive,20.60,50.00
43999,1599489779,2020/9/7 14:42:59,Inactive,20.60,50.00
44999,1599489780,2020/9/7 14:43:0,Inactive,20.60,50.00
45999,1599489781,2020/9/7 14:43:1,Active,20.60,50.00
46999,1599489782,2020/9/7 14:43:2,Active,20.60,50.00
48000,1599489783,2020/9/7 14:43:3,Active,20.60,50.00
48999,1599489784,2020/9/7 14:43:4,Active,20.60,50.00
49999,1599489785,2020/9/7 14:43:5,Active,20.60,50.00
50999,1599489786,2020/9/7 14:43:6,Inactive,20.60,49.90
51999,1599489787,2020/9/7 14:43:7,Inactive,20.60,49.90
52999,1599489788,2020/9/7 14:43:8,Active,20.60,50.00
53999,1599489789,2020/9/7 14:43:9,Active,20.60,50.00
54999,1599489790,2020/9/7 14:43:10,Active,20.60,50.70
56000,1599489791,2020/9/7 14:43:11,Active,20.60,50.70
56999,1599489792,2020/9/7 14:43:12,Active,20.60,51.00
57999,1599489793,2020/9/7 14:43:13,Inactive,20.60,51.00
58999,1599489794,2020/9/7 14:43:14,Inactive,20.60,51.00
59999,1599489795,2020/9/7 14:43:15,Inactive,20.60,51.00
60999,1599489796,2020/9/7 14:43:16,Inactive,20.60,50.90
62000,1599489797,2020/9/7 14:43:17,Inactive,20.60,50.90
62999,1599489798,2020/9/7 14:43:18,Inactive,20.60,50.80
64000,1599489799,2020/9/7 14:43:19,Active,20.60,50.80
64999,1599489800,2020/9/7 14:43:20,Active,20.60,50.60
65999,1599489801,2020/9/7 14:43:21,Active,20.60,50.60
