stamp,motion,temp,hum
1599489779,17,20.58,50.08
1599489839,29,20.59,50.27
1599489899,20,20.59,50.23
1599489959,11,20.57,50.36
1599490019,17,20.59,50.27
1599490079,19,20.6,50.15
1599490139,18,20.58,50.16
1599490199,23,20.58,50.2
1599490259,19,20.58,50.36
1599490319,18,20.57,50.56
1599490379,14,20.59,50.69
1599490439,30,20.6,51.12
1599490499,25,20.6,51.62
1599490559,24,20.59,51.69
1599490619,38,20.6,51.58
1599490679,19,20.6,51.66
1599490739,22,20.6,51.76
1599490799,25,20.6,51.49
1599490859,31,20.66,51.35
1599490919,22,20.7,51.21
1599490979,21,20.7,51.27
1599491039,8,20.7,51.09
1599491099,20,20.7,51.06
1599491159,28,20.62,51.02
1599491219,25,20.62,51.12
1599491279,10,20.69,51.14
1599491339,22,20.68,51.23
1599491399,28,20.7,51.3
1599491459,20,20.7,51.21
1599491519,28,20.74,51.19
1599491579,38,20.8,50.84
1599491639,29,20.8,50.77
1599491699,18,20.76,50.81
1599491759,21,20.7,50.92
1599491819,16,20.71,51.14
1599491879,13,20.75,51.01
1599491939,6,20.74,51.02
1599491999,30,20.79,51.17
1599492059,24,20.83,58.37
1599492119,0,21.0,52.54
1599492179,0,20.95,51.16
1599492239,0,20.9,51.29
1599492299,0,20.82,51.4
1599492359,0,20.75,51.33
1599492419,0,20.71,51.26
1599492479,0,20.63,51.55
1599492539,0,20.67,51.87
1599492599,0,20.75,51.64
1599492659,0,20.81,51.21
1599492719,0,20.88,51.14
1599492779,0,20.9,50.51
1599492839,0,20.93,50.47
1599492899,0,20.99,50.03
1599492959,0,21.0,49.33
1599493019,0,21.0,49.15
1599493079,0,21.01,49.0
1599493139,0,21.05,49.1
1599493199,0,21.02,49.31
1599493259,0,21.02,49.02
1599493319,0,21.07,49.69
1599493379,0,21.09,49.49
1599493439,0,21.09,49.8
1599493499,0,21.1,49.89
1599493559,0,21.1,49.64
1599493619,0,21.1,49.1
1599493679,0,21.11,49.24
1599493739,0,21.14,49.58
1599493799,0,21.11,49.19
1599493859,0,21.13,49.21
1599493919,6,21.13,49.38
1599493979,0,21.16,49.33
1599494039,0,21.16,49.49
1599494099,0,21.15,49.61
1599494159,0,21.14,49.63
1599494219,0,21.13,49.73
1599494279,0,21.12,49.92
1599494339,0,21.15,50.37
1599494399,0,21.18,49.95
1599494459,0,21.2,49.93
1599494519,0,21.2,49.94
1599494579,0,21.2,50.02
1599494639,0,21.2,50.19
1599494699,0,21.2,50.08
1599494759,0,21.2,50.02
1599494819,0,21.2,50.01
1599494879,0,21.22,50.04
1599494939,0,21.29,50.04
1599494999,0,21.3,50.03
1599495059,0,21.28,50.15
1599495119,0,21.2,50.2
1599495179,0,21.23,50.07
1599495239,0,21.27,50.11
1599495299,0,21.28,50.07
1599495359,0,21.29,50.18
1599495419,0,21.29,50.27
1599495479,0,21.29,50.28
1599495539,0,21.29,50.3
1599495599,0,21.29,50.31
1599495659,0,21.3,50.36
1599495719,0,21.3,50.43
1599495779,0,21.3,50.31
1599495839,0,21.3,50.25
1599495899,0,21.3,50.31
1599495959,0,21.29,50.53
1599496019,0,21.28,50.61
1599496079,0,21.25,50.69
1599496139,0,21.29,51.07
1599496199,0,21.37,51.06
1599496259,0,21.39,50.78
1599496319,0,21.39,50.86
1599496379,0,21.38,51.38
1599496439,0,21.4,50.96
1599496499,0,21.38,50.99
1599496559,0,21.33,51.26
1599496619,0,21.32,51.36
1599496679,0,21.33,51.22
1599496739,0,21.32,51.4
1599496799,0,21.33,51.39
1599496859,0,21.31,51.51
1599496919,0,21.33,51.32
1599496979,0,21.34,51.52
1599497039,0,21.36,51.69
1599497099,0,21.35,51.66
1599497159,0,21.3,51.61
1599497219,0,21.3,51.62
1599497279,4,21.3,51.76
1599497339,0,21.31,51.83
1599497399,0,21.32,51.77
1599497459,0,21.37,51.76
1599497519,0,21.39,51.7
1599497579,0,21.39,51.82
1599497639,0,21.34,51.96
1599497699,0,21.33,52.01
1599497759,0,21.3,51.98
1599497819,0,21.27,52.17
1599497879,0,21.21,52.21
1599497939,0,21.24,52.36
1599497999,0,21.3,52.14
1599498059,0,21.3,52.03
1599498119,0,21.21,52.18
1599498179,11,21.18,52.85
1599498239,28,21.24,52.48
1599498299,21,21.3,52.42
1599498359,24,21.31,52.27
1599498419,29,21.32,52.32
1599498479,28,21.31,52.32
1599498539,2,21.3,52.24
1599498599,4,21.26,52.5
1599498659,0,21.2,52.72
1599498719,0,21.12,52.91
1599498779,0,21.1,53.09
1599498839,19,21.06,53.56
1599498899,15,21.07,53.76
